Order,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
273,198141,Bartra,27,https://cdn.sofifa.org/players/4/19/198141.png,Spain,https://cdn.sofifa.org/flags/45.png,82,83,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,€21M,€32K,2032,Right,3,3,3,High/ Medium,Lean,Yes,CB,5,30-Jan-18,,2023,6'0,161lbs,68+3,68+3,68+3,69+3,71+3,71+3,71+3,69+3,72+3,72+3,72+3,71+3,75+3,75+3,75+3,71+3,75+3,79+3,79+3,79+3,75+3,76+3,80+3,80+3,80+3,76+3,55,55,82,79,43,70,66,45,78,80,75,72,72,82,71,66,89,67,71,62,80,86,61,75,52,76,77,83,80,10,15,13,12,8,€45.7M
274,197655,S. Coates,27,https://cdn.sofifa.org/players/4/19/197655.png,Uruguay,https://cdn.sofifa.org/flags/60.png,82,83,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,€21M,€19K,1714,Right,3,3,2,Medium/ Medium,Normal,Yes,RCB,4,31-Jan-17,,2022,6'5,203lbs,58+3,58+3,58+3,53+3,57+3,57+3,57+3,53+3,57+3,57+3,57+3,57+3,65+3,65+3,65+3,57+3,68+3,76+3,76+3,76+3,68+3,70+3,81+3,81+3,81+3,70+3,17,42,80,72,39,64,39,19,70,62,46,64,32,75,30,50,54,81,94,30,83,80,49,50,65,74,84,85,85,16,13,15,16,13,€43.6M
275,195093,Willian José,26,https://cdn.sofifa.org/players/4/19/195093.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,83,Real Sociedad,https://cdn.sofifa.org/teams/2/light/457.png,€26.5M,€44K,1945,Right,2,4,4,Medium/ Low,Normal,Yes,ST,12,31-Jul-16,,2024,6'2,205lbs,81+2,81+2,81+2,74+2,78+2,78+2,78+2,74+2,75+2,75+2,75+2,73+2,69+2,69+2,69+2,73+2,56+2,57+2,57+2,57+2,56+2,54+2,55+2,55+2,55+2,54+2,54,84,84,78,80,79,68,71,50,80,62,65,65,81,43,84,72,73,90,77,65,35,87,68,80,75,40,32,30,15,14,16,15,8,€57.6M
276,193525,Mário Fernandes,27,https://cdn.sofifa.org/players/4/19/193525.png,Russia,https://cdn.sofifa.org/flags/40.png,82,82,PFC CSKA Moscow,https://cdn.sofifa.org/teams/2/light/315.png,€18.5M,€1K,2102,Right,2,3,3,High/ High,Lean,No,RB,6,1-Jul-12,,2022,6'2,176lbs,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,76+2,76+2,76+2,76+2,76+2,80+2,79+2,79+2,79+2,80+2,80+2,79+2,79+2,79+2,80+2,76,56,76,78,52,77,66,39,74,79,79,85,79,80,61,71,84,87,75,58,77,78,76,73,53,76,83,82,84,12,13,14,13,12,€40.7M
277,193469,Víctor Ruiz,29,https://cdn.sofifa.org/players/4/19/193469.png,Spain,https://cdn.sofifa.org/flags/45.png,82,83,Villarreal CF,https://cdn.sofifa.org/teams/2/light/483.png,€19.5M,€43K,1830,Left,2,2,2,Medium/ Medium,Normal,Yes,LCB,6,1-Jul-15,,2019,6'1,172lbs,57+2,57+2,57+2,56+2,57+2,57+2,57+2,56+2,59+2,59+2,59+2,59+2,66+2,66+2,66+2,59+2,72+2,77+2,77+2,77+2,72+2,74+2,81+2,81+2,81+2,74+2,54,37,77,74,39,53,67,46,70,71,55,59,56,78,58,59,78,72,87,38,82,83,39,56,46,72,81,84,85,12,8,6,6,14,€42.4M
278,193283,T. Delaney,26,https://cdn.sofifa.org/players/4/19/193283.png,Denmark,https://cdn.sofifa.org/flags/13.png,82,83,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€21.5M,€61K,2211,Left,2,4,3,High/ High,Normal,No,LCM,8,1-Jul-18,,2022,6'0,174lbs,76+2,76+2,76+2,74+2,76+2,76+2,76+2,74+2,76+2,76+2,76+2,76+2,78+2,78+2,78+2,76+2,79+2,80+2,80+2,80+2,79+2,80+2,81+2,81+2,81+2,80+2,67,72,83,79,66,73,71,68,77,77,76,78,73,81,74,78,91,90,79,74,84,85,75,77,60,81,80,82,81,8,12,11,14,15,€38.2M
279,192984,K. Casteels,26,https://cdn.sofifa.org/players/4/19/192984.png,Belgium,https://cdn.sofifa.org/flags/7.png,82,85,VfL Wolfsburg,https://cdn.sofifa.org/teams/2/light/175.png,€19.5M,€46K,1250,Left,2,2,1,Medium/ Medium,Normal,No,GK,13,21-Jan-15,,2021,6'6,190lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,14,35,13,14,20,13,37,23,44,46,50,81,43,21,58,44,72,18,33,16,15,42,20,40,11,19,17,83,77,77,81,83,€34.6M
280,192318,M. Götze,26,https://cdn.sofifa.org/players/4/19/192318.png,Germany,https://cdn.sofifa.org/flags/21.png,82,85,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€27M,€67K,2101,Right,4,4,4,Medium/ Medium,Normal,Yes,CM,10,1-Aug-16,,2020,5'9,165lbs,75+3,75+3,75+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,81+3,81+3,81+3,81+3,81+3,72+3,72+3,72+3,72+3,72+3,68+3,63+3,63+3,63+3,68+3,78,75,51,87,86,84,81,72,82,90,74,64,86,84,85,68,58,73,68,66,58,65,81,86,77,85,63,53,57,14,7,12,6,10,€47.9M
281,192227,S. Mustafi,26,https://cdn.sofifa.org/players/4/19/192227.png,Germany,https://cdn.sofifa.org/flags/21.png,82,84,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€22.5M,€115K,1914,Right,3,3,2,Medium/ High,Normal,Yes,RCB,20,30-Aug-16,,2021,6'0,181lbs,64+3,64+3,64+3,61+3,62+3,62+3,62+3,61+3,63+3,63+3,63+3,62+3,67+3,67+3,67+3,62+3,72+3,76+3,76+3,76+3,72+3,74+3,80+3,80+3,80+3,74+3,53,58,81,77,51,53,55,47,69,70,58,65,63,82,67,66,83,68,78,52,82,82,50,55,54,73,80,82,82,11,9,15,10,6,€44.4M
282,191180,J. Pastore,29,https://cdn.sofifa.org/players/4/19/191180.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Roma,https://cdn.sofifa.org/teams/2/light/52.png,€21.5M,€84K,2050,Right,3,4,4,High/ Medium,Lean,Yes,CAM,27,1-Jul-18,,2022,6'2,172lbs,75+3,75+3,75+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,79+3,80+3,80+3,80+3,79+3,69+3,70+3,70+3,70+3,69+3,66+3,61+3,61+3,61+3,66+3,77,73,61,86,78,87,83,69,83,86,69,69,79,78,63,78,49,62,64,76,65,69,78,87,75,80,45,59,51,14,9,6,10,12,€36.6M
283,189505,Pedro,30,https://cdn.sofifa.org/players/4/19/189505.png,Spain,https://cdn.sofifa.org/flags/45.png,82,82,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€21M,€140K,1968,Right,3,5,4,High/ High,Lean,Yes,RW,11,20-Aug-15,,2020,5'7,143lbs,75+3,75+3,75+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,79+3,74+3,74+3,74+3,79+3,63+3,61+3,61+3,61+3,63+3,59+3,50+3,50+3,50+3,59+3,78,78,55,80,70,84,81,57,71,85,79,74,82,81,80,77,66,70,47,79,56,49,82,77,66,77,49,32,31,5,11,12,15,9,€38.9M
284,189125,G. Bonaventura,28,https://cdn.sofifa.org/players/4/19/189125.png,Italy,https://cdn.sofifa.org/flags/27.png,82,82,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€22M,€115K,2207,Right,3,3,4,High/ Medium,Lean,No,CM,5,1-Sep-14,,2020,5'11,165lbs,77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,80+3,78+3,77+3,77+3,77+3,78+3,76+3,72+3,72+3,72+3,76+3,82,70,70,84,78,83,78,78,80,85,75,77,77,82,77,84,69,84,66,86,68,72,78,82,68,82,74,72,68,10,14,7,15,14,€37.4M
285,189117,R. Bürki,27,https://cdn.sofifa.org/players/4/19/189117.png,Switzerland,https://cdn.sofifa.org/flags/47.png,82,85,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€18.5M,€50K,1245,Right,3,2,1,Medium/ Medium,Normal,No,GK,21,1-Jul-15,,2021,6'2,187lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8,17,37,13,12,13,12,24,23,44,54,49,79,52,22,74,36,74,14,35,18,10,50,20,58,11,13,16,86,78,73,77,86,€32.8M
286,188803,Taison,30,https://cdn.sofifa.org/players/4/19/188803.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,82,Shakhtar Donetsk,https://cdn.sofifa.org/teams/2/light/101059.png,€21M,€1K,2055,Right,2,3,4,Medium/ Medium,Lean,No,LM,7,11-Jan-13,,2021,5'8,141lbs,77+2,77+2,77+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,76+2,76+2,76+2,81+2,67+2,64+2,64+2,64+2,67+2,64+2,55+2,55+2,55+2,64+2,73,76,56,77,82,87,52,73,75,85,93,91,90,79,83,83,62,79,62,83,56,49,74,79,72,74,38,53,40,7,7,11,15,13,€44.1M
287,187936,S. Nzonzi,29,https://cdn.sofifa.org/players/4/19/187936.png,France,https://cdn.sofifa.org/flags/18.png,82,82,Roma,https://cdn.sofifa.org/teams/2/light/52.png,€17M,€77K,2006,Right,2,3,2,Medium/ Medium,Lean,Yes,CDM,15,14-Aug-18,,2022,6'5,165lbs,72+2,72+2,72+2,68+2,72+2,72+2,72+2,68+2,72+2,72+2,72+2,70+2,77+2,77+2,77+2,70+2,74+2,81+2,81+2,81+2,74+2,75+2,81+2,81+2,81+2,75+2,59,64,79,79,55,72,73,42,77,81,44,55,36,81,31,79,75,86,92,66,87,84,70,77,57,85,81,80,76,7,16,16,16,13,€28.9M
288,187754,Marlos,30,https://cdn.sofifa.org/players/4/19/187754.png,Ukraine,https://cdn.sofifa.org/flags/49.png,82,82,Shakhtar Donetsk,https://cdn.sofifa.org/teams/2/light/101059.png,€21M,€1K,2075,Left,2,4,5,Medium/ Medium,Normal,No,RM,11,4-Jul-14,,2019,5'9,152lbs,76+2,76+2,76+2,82+2,81+2,81+2,81+2,82+2,82+2,82+2,82+2,81+2,77+2,77+2,77+2,81+2,67+2,65+2,65+2,65+2,67+2,64+2,56+2,56+2,56+2,64+2,76,79,53,81,68,87,82,72,73,88,85,82,92,77,84,77,68,78,62,78,58,51,77,82,80,84,45,49,42,6,13,13,8,9,€44.1M
289,186561,A. Ramsey,27,https://cdn.sofifa.org/players/4/19/186561.png,Wales,https://cdn.sofifa.org/flags/50.png,82,83,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€25M,€130K,2110,Right,3,3,3,High/ High,Lean,Yes,CAM,10,13-Jun-08,,2019,6'0,168lbs,75+3,75+3,75+3,77+3,78+3,78+3,78+3,77+3,79+3,79+3,79+3,78+3,80+3,80+3,80+3,78+3,75+3,75+3,75+3,75+3,75+3,72+3,69+3,69+3,69+3,72+3,75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67,6,11,5,10,8,€49.4M
290,186345,K. Trippier,27,https://cdn.sofifa.org/players/4/19/186345.png,England,https://cdn.sofifa.org/flags/14.png,82,82,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€18.5M,€99K,2161,Right,2,4,3,High/ High,Normal,Yes,RB,12,19-Jun-15,,2022,5'10,159lbs,70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,75+2,75+2,75+2,77+2,78+2,78+2,78+2,77+2,81+2,78+2,78+2,78+2,81+2,80+2,76+2,76+2,76+2,80+2,91,48,73,79,54,75,87,83,78,80,76,75,74,81,74,75,73,88,65,70,70,79,75,80,66,73,77,82,79,11,14,8,11,10,€34.2M
291,185103,A. Kolarov,32,https://cdn.sofifa.org/players/4/19/185103.png,Serbia,https://cdn.sofifa.org/flags/51.png,82,82,Roma,https://cdn.sofifa.org/teams/2/light/52.png,€12.5M,€73K,2230,Left,2,3,3,High/ Medium,Normal,Yes,LB,11,22-Jul-17,,2020,6'2,183lbs,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,77+2,78+2,78+2,78+2,77+2,80+2,79+2,79+2,79+2,80+2,80+2,80+2,80+2,80+2,80+2,91,55,80,77,64,79,85,86,77,76,73,70,63,84,58,91,80,84,77,83,85,81,75,77,74,88,81,82,81,16,15,8,16,6,€21.3M
292,184484,G. Sigurðsson,28,https://cdn.sofifa.org/players/4/19/184484.png,Iceland,https://cdn.sofifa.org/flags/24.png,82,82,Everton,https://cdn.sofifa.org/teams/2/light/7.png,€22.5M,€125K,2096,Right,3,5,3,High/ High,Normal,Yes,CAM,10,16-Aug-17,,2022,6'1,181lbs,75+3,75+3,75+3,78+3,78+3,78+3,78+3,78+3,80+3,80+3,80+3,78+3,80+3,80+3,80+3,78+3,70+3,70+3,70+3,70+3,70+3,66+3,61+3,61+3,61+3,66+3,86,77,60,84,75,80,87,86,80,85,58,55,68,78,63,83,68,86,68,86,57,55,79,86,79,84,57,57,55,13,8,10,15,12,€42.8M
293,184431,S. Giovinco,31,https://cdn.sofifa.org/players/4/19/184431.png,Italy,https://cdn.sofifa.org/flags/27.png,82,82,Toronto FC,https://cdn.sofifa.org/teams/2/light/111651.png,€20M,€15K,1957,Right,2,4,4,High/ Medium,Normal,Yes,CF,21,3-Feb-15,,2019,5'4,134lbs,75+2,75+2,75+2,82+2,81+2,81+2,81+2,82+2,82+2,82+2,82+2,81+2,75+2,75+2,75+2,81+2,59+2,56+2,56+2,56+2,59+2,54+2,41+2,41+2,41+2,54+2,72,80,34,80,75,86,90,93,76,86,88,80,94,80,91,80,34,77,42,81,75,26,82,81,73,82,23,29,28,6,3,6,3,3,€30M
294,184200,M. Arnautović,29,https://cdn.sofifa.org/players/4/19/184200.png,Austria,https://cdn.sofifa.org/flags/4.png,82,82,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,€22M,€120K,2106,Right,3,4,4,High/ Medium,Normal,Yes,LS,7,23-Jul-17,,2022,6'4,183lbs,80+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,79+3,79+3,79+3,80+3,75+3,75+3,75+3,80+3,66+3,65+3,65+3,65+3,66+3,63+3,60+3,60+3,60+3,63+3,80,78,74,78,79,84,79,72,74,85,79,83,70,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39,14,15,10,10,15,€41.8M
295,184144,N. Gaitán,30,https://cdn.sofifa.org/players/4/19/184144.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Dalian YiFang FC,https://cdn.sofifa.org/teams/2/light/112378.png,€21M,€22K,2010,Left,3,2,4,Medium/ Medium,Lean,Yes,CAM,9,27-Feb-18,,2021,5'8,146lbs,73+3,73+3,73+3,80+3,79+3,79+3,79+3,80+3,80+3,80+3,80+3,80+3,75+3,75+3,75+3,80+3,64+3,60+3,60+3,60+3,64+3,60+3,51+3,51+3,51+3,60+3,80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,57,40,77,82,71,80,35,42,43,8,11,9,7,5,€45.2M
296,183711,J. Henderson,28,https://cdn.sofifa.org/players/4/19/183711.png,England,https://cdn.sofifa.org/flags/14.png,82,82,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€18M,€125K,2163,Right,2,3,3,Medium/ High,Normal,Yes,RCM,8,9-Jun-11,,2020,6'0,176lbs,72+2,72+2,72+2,75+2,75+2,75+2,75+2,75+2,77+2,77+2,77+2,77+2,80+2,80+2,80+2,77+2,79+2,80+2,80+2,80+2,79+2,78+2,76+2,76+2,76+2,78+2,81,67,65,84,72,73,80,74,84,80,67,66,70,80,70,77,79,91,72,71,77,80,75,83,64,78,77,79,76,7,13,7,9,13,€34.2M
297,183574,M. Kruse,30,https://cdn.sofifa.org/players/4/19/183574.png,Germany,https://cdn.sofifa.org/flags/21.png,82,82,SV Werder Bremen,https://cdn.sofifa.org/teams/2/light/38.png,€21.5M,€45K,2063,Left,2,4,4,High/ Medium,Normal,Yes,ST,10,2-Aug-16,,2019,5'11,168lbs,79+2,79+2,79+2,80+2,81+2,81+2,81+2,80+2,82+2,82+2,82+2,80+2,78+2,78+2,78+2,80+2,64+2,64+2,64+2,64+2,64+2,60+2,56+2,56+2,56+2,60+2,81,83,63,84,80,82,80,69,80,85,69,67,74,85,76,81,65,71,72,79,63,41,85,83,90,86,57,38,34,12,7,5,13,9,€36.6M
298,183498,M. Parolo,33,https://cdn.sofifa.org/players/4/19/183498.png,Italy,https://cdn.sofifa.org/flags/27.png,82,82,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,€9M,€59K,2151,Right,2,4,3,High/ High,Lean,No,RDM,16,1-Jul-14,,2020,6'0,165lbs,77+2,77+2,77+2,75+2,77+2,77+2,77+2,75+2,77+2,77+2,77+2,76+2,80+2,80+2,80+2,76+2,78+2,80+2,80+2,80+2,78+2,78+2,78+2,78+2,78+2,78+2,70,70,75,80,76,75,67,55,83,79,68,69,67,82,71,87,77,88,77,86,80,80,82,78,45,78,78,80,82,13,9,6,7,9,€15.3M
299,183376,L. Fejsa,29,https://cdn.sofifa.org/players/4/19/183376.png,Serbia,https://cdn.sofifa.org/flags/51.png,82,82,SL Benfica,https://cdn.sofifa.org/teams/2/light/234.png,€17M,€18K,1945,Right,2,3,2,Low/ High,Normal,No,CDM,5,24-Aug-13,,2021,6'0,176lbs,63+2,63+2,63+2,62+2,64+2,64+2,64+2,62+2,65+2,65+2,65+2,65+2,72+2,72+2,72+2,65+2,74+2,79+2,79+2,79+2,74+2,74+2,79+2,79+2,79+2,74+2,50,49,73,78,53,68,43,57,74,72,52,55,57,78,58,73,73,90,78,62,91,85,50,63,56,75,82,84,77,14,12,13,11,14,€34M
300,183280,A. Rami,32,https://cdn.sofifa.org/players/4/19/183280.png,France,https://cdn.sofifa.org/flags/18.png,82,82,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,€12.5M,€57K,1793,Right,3,3,2,High/ High,Normal,Yes,RCB,23,13-Jul-17,,2021,6'3,198lbs,59+3,59+3,59+3,53+3,55+3,55+3,55+3,53+3,56+3,56+3,56+3,56+3,63+3,63+3,63+3,56+3,70+3,75+3,75+3,75+3,70+3,72+3,80+3,80+3,80+3,72+3,36,45,77,66,45,56,43,55,68,68,52,67,54,75,54,77,76,84,91,58,83,83,24,44,48,77,81,83,79,5,3,5,5,3,€23.8M
301,181786,V. Ćorluka,32,https://cdn.sofifa.org/players/4/19/181786.png,Croatia,https://cdn.sofifa.org/flags/10.png,82,82,Lokomotiv Moscow,https://cdn.sofifa.org/teams/2/light/100765.png,€12.5M,€1K,1909,Right,3,3,3,High/ Medium,Normal,No,LCB,14,27-Jun-12,,2020,6'4,185lbs,61+3,61+3,61+3,61+3,61+3,61+3,61+3,61+3,62+3,62+3,62+3,64+3,68+3,68+3,68+3,64+3,74+3,76+3,76+3,76+3,74+3,75+3,79+3,79+3,79+3,75+3,68,44,83,70,38,65,69,60,72,73,49,65,57,77,46,64,81,80,86,50,81,77,45,60,49,78,79,83,82,15,9,12,14,6,€26.3M
302,181291,G. Wijnaldum,27,https://cdn.sofifa.org/players/4/19/181291.png,Netherlands,https://cdn.sofifa.org/flags/34.png,82,82,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€23M,€130K,2175,Right,3,3,4,High/ High,Lean,Yes,CAM,8,22-Jul-16,,2021,5'9,152lbs,76+3,76+3,76+3,78+3,79+3,79+3,79+3,78+3,79+3,79+3,79+3,79+3,80+3,80+3,80+3,79+3,76+3,77+3,77+3,77+3,76+3,75+3,73+3,73+3,73+3,75+3,67,70,72,84,73,84,76,70,76,84,77,76,80,82,81,76,80,85,72,71,64,76,79,78,74,82,74,75,65,16,6,14,12,6,€43.7M
303,179847,F. Fazio,31,https://cdn.sofifa.org/players/4/19/179847.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Roma,https://cdn.sofifa.org/teams/2/light/52.png,€15M,€73K,1633,Right,3,2,2,Medium/ Medium,Normal,Yes,LCB,20,15-Jul-17,,2020,6'5,187lbs,56+3,56+3,56+3,50+3,53+3,53+3,53+3,50+3,52+3,52+3,52+3,54+3,61+3,61+3,61+3,54+3,69+3,76+3,76+3,76+3,69+3,71+3,81+3,81+3,81+3,71+3,44,41,89,64,35,48,46,37,62,72,36,43,29,84,32,63,41,74,91,26,84,85,32,47,26,86,85,85,78,8,9,12,11,14,€25.5M
304,178509,O. Giroud,31,https://cdn.sofifa.org/players/4/19/178509.png,France,https://cdn.sofifa.org/flags/18.png,82,82,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€20M,€140K,1927,Left,3,3,3,Medium/ Medium,Normal,Yes,ST,9,31-Jan-18,,2019,6'4,203lbs,79+3,79+3,79+3,72+3,76+3,76+3,76+3,72+3,74+3,74+3,74+3,71+3,71+3,71+3,71+3,71+3,55+3,59+3,59+3,59+3,55+3,52+3,56+3,56+3,56+3,52+3,64,83,90,79,82,70,70,65,58,83,43,50,57,83,54,85,84,62,88,74,76,42,83,76,83,78,37,37,20,12,15,11,6,5,€37M
305,173521,Marcano,31,https://cdn.sofifa.org/players/4/19/173521.png,Spain,https://cdn.sofifa.org/flags/45.png,82,82,Roma,https://cdn.sofifa.org/teams/2/light/52.png,€15M,€73K,1827,Left,3,3,2,Medium/ Medium,Lean,No,CB,15,1-Jul-18,,2021,6'2,170lbs,58+3,58+3,58+3,56+3,57+3,57+3,57+3,56+3,58+3,58+3,58+3,59+3,64+3,64+3,64+3,59+3,73+3,76+3,76+3,76+3,73+3,75+3,81+3,81+3,81+3,75+3,49,43,83,76,34,54,39,37,67,67,67,69,58,78,56,65,91,78,77,42,82,82,30,48,45,72,85,84,80,8,16,7,14,16,€25.5M
306,171897,A. Guardado,31,https://cdn.sofifa.org/players/4/19/171897.png,Mexico,https://cdn.sofifa.org/flags/83.png,82,82,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,€19M,€35K,2146,Left,3,2,4,Medium/ Medium,Lean,Yes,CM,18,7-Jul-17,,2020,5'7,148lbs,70+3,70+3,70+3,76+3,76+3,76+3,76+3,76+3,78+3,78+3,78+3,78+3,80+3,80+3,80+3,78+3,77+3,78+3,78+3,78+3,77+3,75+3,71+3,71+3,71+3,75+3,73,60,55,85,69,80,78,81,83,84,74,73,81,82,88,74,74,84,57,72,72,73,70,83,70,76,75,75,73,7,10,10,11,10,€39.9M
307,170481,E. Garay,31,https://cdn.sofifa.org/players/4/19/170481.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png,€15M,€44K,1896,Right,3,3,2,Medium/ Medium,Normal,Yes,RCB,24,31-Aug-16,,2020,6'2,198lbs,63+3,63+3,63+3,59+3,60+3,60+3,60+3,59+3,61+3,61+3,61+3,60+3,68+3,68+3,68+3,60+3,69+3,76+3,76+3,76+3,69+3,70+3,79+3,79+3,79+3,70+3,62,58,80,69,49,60,55,74,72,73,34,36,54,76,34,80,76,62,88,64,77,83,42,63,69,78,82,83,81,14,6,13,13,14,€31.5M
308,168530,Jardel,32,https://cdn.sofifa.org/players/4/19/168530.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,82,SL Benfica,https://cdn.sofifa.org/teams/2/light/234.png,€12.5M,€17K,1687,Right,2,2,2,Medium/ High,Normal,No,LCB,33,1-Jan-11,,2021,6'4,192lbs,55+2,55+2,55+2,51+2,53+2,53+2,53+2,51+2,53+2,53+2,53+2,54+2,59+2,59+2,59+2,54+2,69+2,73+2,73+2,73+2,69+2,71+2,81+2,81+2,81+2,71+2,46,38,85,68,27,52,30,35,53,60,50,63,35,77,34,58,77,68,89,37,83,82,30,49,57,71,85,84,78,7,16,11,16,7,€25M
309,168435,S. Sirigu,31,https://cdn.sofifa.org/players/4/19/168435.png,Italy,https://cdn.sofifa.org/flags/27.png,82,82,Torino,https://cdn.sofifa.org/teams/2/light/54.png,€13.5M,€45K,1213,Right,3,2,1,Medium/ Medium,Normal,Yes,GK,1,27-Jun-17,,2022,6'4,176lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,11,23,12,15,11,11,28,18,50,51,52,75,55,20,68,34,66,14,34,20,10,55,19,62,14,11,13,84,76,76,83,81,€23M
310,168354,E. Viviano,32,https://cdn.sofifa.org/players/4/19/168354.png,Italy,https://cdn.sofifa.org/flags/27.png,82,82,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,€12.5M,€15K,1169,Left,2,2,1,Medium/ Medium,Stocky,No,GK,1,1-Jul-18,,2020,6'5,198lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,13,36,13,18,14,16,37,22,30,33,35,74,32,21,66,29,58,18,18,10,10,60,21,64,27,10,12,83,84,76,81,83,€25M
311,165229,L. Koscielny,32,https://cdn.sofifa.org/players/4/19/165229.png,France,https://cdn.sofifa.org/flags/18.png,82,82,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€12.5M,€115K,1807,Right,3,3,2,Medium/ High,Lean,Yes,CB,6,7-Jul-10,,2020,6'1,165lbs,57+3,57+3,57+3,58+3,58+3,58+3,58+3,58+3,60+3,60+3,60+3,60+3,65+3,65+3,65+3,60+3,71+3,75+3,75+3,75+3,71+3,74+3,80+3,80+3,80+3,74+3,52,32,80,76,35,62,22,49,69,66,64,66,65,76,61,54,78,62,75,47,86,84,41,56,51,75,80,84,83,13,11,9,11,7,€23.8M
312,163489,A. Consigli,31,https://cdn.sofifa.org/players/4/19/163489.png,Italy,https://cdn.sofifa.org/flags/27.png,82,82,Sassuolo,https://cdn.sofifa.org/teams/2/light/111974.png,€13.5M,€52K,1180,Right,2,3,1,Medium/ Medium,Lean,No,GK,47,1-Sep-14,,2022,6'2,181lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,31,19,10,15,15,27,23,48,34,57,75,40,24,80,31,51,19,11,15,10,46,21,63,10,17,19,82,83,72,82,83,€23M
313,158963,L. Biglia,32,https://cdn.sofifa.org/players/4/19/158963.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,82,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€12.5M,€98K,2104,Right,3,4,3,Medium/ High,Normal,No,CDM,21,17-Jul-17,,2020,5'10,139lbs,66+3,66+3,66+3,72+3,71+3,71+3,71+3,72+3,75+3,75+3,75+3,74+3,78+3,78+3,78+3,74+3,77+3,80+3,80+3,80+3,77+3,76+3,75+3,75+3,75+3,76+3,74,50,54,86,78,80,71,76,82,84,65,65,76,80,78,77,62,75,65,75,83,82,50,80,72,80,80,78,74,14,12,7,12,7,€21.3M
